				Patch for Purists - Book Typo Fixes
				By Half11

Version: 4.0.2


Note: Khajiti|Khajiiti|Khajiit| typo fixes are controversial, so we kept those out.


Version 4.0.0 Update
--------------------------------------
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Mallam Ryon, Mage| ==> |Mouth Mallam Ryon|
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Arara Uvulas| ==> |Mouth Galos Mathendis|
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Raven Omayn| ==> |Mouth Arara Uvulas|
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Felisa Ulessen| ==> |Mouth Felisa Ulessen|
Book:ID=bk_BrownBook426:Name=Brown Book of 3E 426: |Mouth Mallam Ryon| ==> |Mouth Raven Omayn|
Book:ID=bk_notes-kagouti mating habits: |southeastern Morrowind| ==> |southwestern Vvardenfell|
Book:ID=BookSkill_Speechcraft1:Name=Biography of the Wolf Queen: |90| ==> |70|
Book:ID=BookSkill_Speechcraft1:Name=Biography of the Wolf Queen: |Antiochius died| ==> |Cephorus died|


Version 3.2.0 Update
--------------------------------------
Book:ID=bk_dispelrecipe_tgca:Name=Dispel Potion Formula: |form a power| ==> |form a powder|
Book:ID=bookskill_axe2:Name=The Axe Man: |and felt no anger only a sort of coldness| ==> |and felt no anger, only a sort of coldness|
Book:ID=BookSkill_LightArmor1:Name=The Rear Guard: |In any rate| ==> |At any rate|
Book:ID=bk_PilgrimsPath:Name=The Pilgrim's Path: |though the Puzzle Canal| ==> |through the Puzzle Canal|

Version 3.1.0 Update
--------------------------------------
Book:ID=bk_corpsepreperation2_c:Name=Corpse Preparation v II: |spikes are between| ==> |spikes between|
Book:ID=bk_kagrenac'stools:Name=Kagrenac's Tools: |heave| ==> |have|


Morrowind
--------------------------------------
Book:ID=BookSkill_Short Blade3:Name=2920, Evening Star: |plantlife| ==> |plant life|
Book:ID=BookSkill_Short Blade3:Name=2920, Evening Star: |sweeping| ==> |swept|
Book:ID=BookSkill_Short Blade3:Name=2920, Evening Star: |behind one| ==> |into one|
Book:ID=BookSkill_Spear2:Name=2920, First Seed: |that Akavir| ==> |that Akaviri|
Book:ID=BookSkill_Spear2:Name=2920, First Seed: |the Akavir| ==> |the Akaviri|
Book:ID=BookSkill_Spear2:Name=2920, First Seed: |Bodrums| ==> |Bodrum|
Book:ID=BookSkill_Spear2:Name=2920, First Seed: |conservatorium| ==> |conservatorium.|
Book:ID=BookSkill_Conjuration4:Name=2920, FrostFall: |hows| ==> |how|
Book:ID=BookSkill_Conjuration4:Name=2920, FrostFall: |Summurset| ==> |Summerset|
Book:ID=BookSkill_Conjuration3:Name=2920, Hearth Fire: |ever day| ==> |every day|
Book:ID=BookSkill_Conjuration3:Name=2920, Hearth Fire: |side the| ==> |side of the|
Book:ID=BookSkill_Conjuration3:Name=2920, Hearth Fire: |its their| ==> |it's their|
Book:ID=BookSkill_Sneak2:Name=2920, Last Seed: |Gilderdale| ==> |Gilverdale|
Book:ID=BookSkill_Heavy Armor2:Name=2920, MidYear: |a two weeks| ==> |a two week|
Book:ID=BookSkill_Heavy Armor2:Name=2920, MidYear: |clan| ==> |clad|
Book:ID=BookSkill_Heavy Armor2:Name=2920, MidYear: |idea opportunity| ==> |ideal opportunity|
Book:ID=BookSkill_Heavy Armor2:Name=2920, MidYear: |wonderous| ==> |wondrous|
Book:ID=BookSkill_Heavy Armor2:Name=2920, MidYear: |Juilek. “Is| ==> |Juilek, “is|
Book:ID=BookSkill_Heavy Armor2:Name=2920, MidYear: |word that| ==> |word of|
Book:ID=BookSkill_Long Blade1:Name=Words and Philosophy: |interview, responding| ==> |interview responding|
Book:ID=BookSkill_Long Blade2:Name=2920, Morning Star: |Cyrodilic| ==> |Cyrodiilic|
Book:ID=BookSkill_Long Blade2:Name=2920, Morning Star: |Giovesse| ==> |Giovese|
Book:ID=BookSkill_Long Blade2:Name=2920, Morning Star: |an Akavir| ==> |an Akaviri|
